source,target,types,affiltype,regultype
WA,ANGO,undirected,GovernanceLegal,Informal
AWA,TFA,undirected,GovernanceLegal,Informal
AWL,ANGO,undirected,GovernanceLegal,Informal
AWL,CAN,undirected,ScienceData,Informal
ALE,AIA,undirected,GovernanceLegal,Informal
AIA,ALE,undirected,GovernanceLegal,Informal
AIA,ICC,undirected,GovernanceLegal,Informal
AIA,AC,undirected,GovernanceLegal,FormalMOU
APIA,AIA,undirected,GovernanceLegal,Informal
AWI,ANet,undirected,ScienceData,FormalMOU
AV,TCC,undirected,GovernanceLegal,FormalMOU
AV,DOY,undirected,GovernanceLegal,FormalMOU
NVN,AVCP,undirected,GovernanceLegal,FormalMOU
AN,ANGO,undirected,Multiple,FormalMOU
APS,ARCUS,undirected,ScienceData,Informal
APS,NSIDC,undirected,ScienceData,Informal
Apache,none,undirected,none,none
AAE,ArcIns,undirected,Multiple,none
AAC,AC,undirected,Multiple,none
AAC,GCI,undirected,GovernanceLegal,none
AAC,ICC,undirected,GovernanceLegal,none
AB,ArcIns,undirected,Multiple,none
PNWER,IN,undirected,ScienceData,FormalMOU
AC,ICC,undirected,Multiple,FormalMOU
AC,AAC,undirected,Multiple,FormalMOU
AC,GCI,undirected,Multiple,FormalMOU
AC,AIA,undirected,Multiple,FormalMOU
AC,SC,undirected,Multiple,FormalMOU
AC,RAIPON,undirected,Multiple,FormalMOU
AC,IN,undirected,Multiple,FormalMOU
AC,ICCI,undirected,Multiple,FormalMOU
AC,SAON,undirected,Multiple,FormalMOU
AC,NF,undirected,Multiple,FormalMOU
AFC,ACF,undirected,Funder,FormalMOU
AFC,444S,undirected,Funder,FormalMOU
AFC,OAK,undirected,Funder,FormalMOU
AFC,Moore,undirected,Funder,FormalMOU
AFC,PEW,undirected,Funder,FormalMOU
AFC,TMU,undirected,Funder,FormalMOU
AFC,CAM,undirected,Funder,FormalMOU
AFC,WIL,undirected,Funder,FormalMOU
ArcIns,HNC,undirected,ScienceData,Informal
ArcIns,SOI,undirected,ScienceData,Informal
ArcIns,AAE,undirected,ScienceData,Informal
ArcIns,AB,undirected,ScienceData,Informal
ArcIns,KMI,undirected,ScienceData,Informal
AINA,AC,undirected,Multiple,FormalMOU
AMATII,IN,undirected,ScienceData,Informal
AMATII,Shell,undirected,ScienceData,Informal
AMATII,UAF,undirected,ScienceData,Informal
ANet,ICC,undirected,Multiple,Informal
ANet,AWI,undirected,ScienceData,Informal
ANet,UAF,undirected,ScienceData,Informal
ANet,UAA,undirected,ScienceData,Informal
ANet,NPS,undirected,ScienceData,Informal
ANet,SAI,undirected,ScienceData,Informal
ANet,PEW,undirected,Multiple,Informal
ANet,WWF,undirected,ScienceData,Informal
ARCUS,SEARCH,undirected,ScienceData,Informal
ACSC,ADFG,undirected,ScienceData,Informal
ACSC,BLM,undirected,ScienceData,Informal
ACSC,BOEM,undirected,ScienceData,Informal
ACSC,NOAA,undirected,ScienceData,Informal
ACSC,USGS,undirected,ScienceData,Informal
ACRC,USDA-FSL,undirected,ScienceData,Informal
ACRC,UAS,undirected,ScienceData,Informal
ACRC,SNAP,undirected,ScienceData,Informal
ACRC,UAS ,undirected,ScienceData,Informal
ACRC,UAF,undirected,ScienceData,Informal
ACRC,USFWS,undirected,ScienceData,Informal
ACRC,CBJ,undirected,ScienceData,Informal
ACF,AFC,undirected,Funder,FormalMOU
ACF,OAK,undirected,Funder,FormalMOU
DCCED,NVN,undirected,Multiple,FormalMOU
DEC,ACCER,undirected,ScienceData,Informal
DEC,NVN,undirected,Multiple,FormalMOU
